epoch,loss,avg_return,avg_ep_len,test_return
0,23.10850715637207,25.612244897959183,25.612244897959183,25.0
1,24.302541732788086,28.91329479768786,28.91329479768786,27.0
2,27.131338119506836,30.969135802469136,30.969135802469136,54.0
3,28.584171295166016,34.54794520547945,34.54794520547945,26.0
4,31.11316680908203,34.294520547945204,34.294520547945204,29.0
5,31.005321502685547,38.48461538461538,38.48461538461538,38.0
6,37.218597412109375,43.034188034188034,43.034188034188034,31.0
7,34.19054412841797,41.19512195121951,41.19512195121951,70.0
8,39.163856506347656,49.960396039603964,49.960396039603964,40.0
9,43.719505310058594,51.90721649484536,51.90721649484536,63.0
10,38.89562225341797,48.95192307692308,48.95192307692308,39.0
11,41.13725662231445,53.903225806451616,53.903225806451616,38.0
12,43.13145065307617,57.44318181818182,57.44318181818182,63.0
13,52.87794494628906,69.66666666666667,69.66666666666667,36.0
14,46.91913986206055,63.75,63.75,72.0
15,49.528499603271484,69.75,69.75,51.0
16,51.76321792602539,74.02941176470588,74.02941176470588,136.0
17,62.932552337646484,79.0625,79.0625,47.0
18,64.62044525146484,85.95,85.95,132.0
19,75.57669067382812,96.0,96.0,110.0
20,79.0750961303711,106.55319148936171,106.55319148936171,66.0
21,94.44918060302734,126.85,126.85,110.0
22,90.32084655761719,117.90697674418605,117.90697674418605,168.0
23,106.6667709350586,139.27777777777777,139.27777777777777,177.0
24,136.88388061523438,177.7,177.7,279.0
25,133.45150756835938,187.40740740740742,187.40740740740742,186.0
26,150.84251403808594,195.53846153846155,195.53846153846155,165.0
27,140.1360626220703,209.52,209.52,222.0
28,158.73231506347656,232.13636363636363,232.13636363636363,131.0
29,174.20803833007812,264.42105263157896,264.42105263157896,132.0
30,139.3974609375,219.43478260869566,219.43478260869566,128.0
31,124.6115493774414,196.76923076923077,196.76923076923077,44.0
32,148.50148010253906,233.27272727272728,233.27272727272728,280.0
33,120.40159606933594,195.96153846153845,195.96153846153845,170.0
34,142.70828247070312,236.3181818181818,236.3181818181818,304.0
35,134.74240112304688,226.30434782608697,226.30434782608697,266.0
36,163.18202209472656,261.1,261.1,500.0
37,171.09068298339844,268.7368421052632,268.7368421052632,277.0
38,193.03790283203125,315.47058823529414,315.47058823529414,500.0
39,212.0924530029297,349.26666666666665,349.26666666666665,500.0
40,211.47215270996094,338.1333333333333,338.1333333333333,500.0
41,211.7389678955078,318.7647058823529,318.7647058823529,353.0
42,219.56471252441406,357.6,357.6,434.0
43,215.64088439941406,333.5,333.5,462.0
44,206.9087677001953,318.75,318.75,500.0
45,234.5063018798828,400.2307692307692,400.2307692307692,443.0
46,215.7574005126953,353.8,353.8,500.0
47,239.61863708496094,384.85714285714283,384.85714285714283,457.0
48,224.34303283691406,361.64285714285717,361.64285714285717,202.0
49,235.03761291503906,381.0,381.0,353.0
