epoch,avg_return,avg_length
0,18.981060606060606,18.981060606060606
1,20.775933609958507,20.775933609958507
2,24.90049751243781,24.90049751243781
3,27.227027027027027,27.227027027027027
4,26.956989247311828,26.956989247311828
5,31.080246913580247,31.080246913580247
6,32.406451612903226,32.406451612903226
7,32.54545454545455,32.54545454545455
8,39.234375,39.234375
9,40.064,40.064
10,43.293103448275865,43.293103448275865
11,44.09649122807018,44.09649122807018
12,47.4811320754717,47.4811320754717
13,50.13,50.13
14,53.691489361702125,53.691489361702125
15,53.702127659574465,53.702127659574465
16,56.60674157303371,56.60674157303371
17,64.32051282051282,64.32051282051282
18,58.52325581395349,58.52325581395349
19,68.70270270270271,68.70270270270271
20,68.54054054054055,68.54054054054055
21,67.89189189189189,67.89189189189189
22,76.56060606060606,76.56060606060606
23,75.50746268656717,75.50746268656717
24,80.47619047619048,80.47619047619048
25,83.2258064516129,83.2258064516129
26,83.26229508196721,83.26229508196721
27,96.3076923076923,96.3076923076923
28,113.59574468085107,113.59574468085107
29,120.78571428571429,120.78571428571429
30,132.26315789473685,132.26315789473685
31,165.6451612903226,165.6451612903226
32,201.96,201.96
33,218.3913043478261,218.3913043478261
34,276.5263157894737,276.5263157894737
35,247.85714285714286,247.85714285714286
36,278.44444444444446,278.44444444444446
37,289.05555555555554,289.05555555555554
38,281.1111111111111,281.1111111111111
39,232.27272727272728,232.27272727272728
40,206.24,206.24
41,200.48,200.48
42,201.1153846153846,201.1153846153846
43,220.29166666666666,220.29166666666666
44,274.10526315789474,274.10526315789474
45,346.8,346.8
46,422.5833333333333,422.5833333333333
47,415.6923076923077,415.6923076923077
48,432.25,432.25
49,392.7857142857143,392.7857142857143
